GeneSymbol	N_RO1	N_RO2	N_RO3	M_RO1	M_RO2	M_RO3	M_Cell1	M_Cell2	M_Cell3	M_Cell4	Y79_1	Y79_2	Y79_3	Y79_4	Y79_5
A1BG	1.996294	1.991991	0	1.228931	1.007117	0	1.63291	0.115992	1.454166	4.862022	0.228968	0.635171	0.85696	0.691954	0.526005
A1CF	0.312252	0.150233	0.912237	0.16165	0.106801	0.427648	0.018776	0.248278	0.104704	0.005594	0.011377	0.028977	0.017419	0.007579	0.034241
A2M	17.529745	17.794884	4.216889	7.986598	7.925807	14.629932	1.360294	2.145067	2.297684	9.129246	0.016272	0.014187	0.031132	0.008108	0.005932
A2ML1	0.334189	0.089162	0	0	0.11585	0.169304	0	0.060916	0.025296	0	0	0	0.006276	0	0
A3GALT2	0.312771	0	0	0	0	0	0	0	0	0	0.015541	0.047678	0.00762	0.025248	0.02045
A4GALT	0	0	0	0	0	0.167893	0.099845	0	0	0	0.219343	0.345954	0.517354	0.409372	0.397708
A4GNT	0	0.16448	0.157874	0.033863	0	0.11569	0	0	0.109319	0	0	0.02232	0	0	0
AAAS	19.020357	19.403636	5.485115	16.927677	18.584532	8.889268	19.244431	11.238835	18.726906	30.434021	17.100776	19.773735	21.217619	21.496795	19.017739
AACS	7.728272	5.776667	4.409172	10.199404	6.827156	5.207892	3.527724	6.263821	10.288715	6.584308	9.823548	8.49261	11.167624	11.703523	11.163827
AADAT	2.967672	3.348415	9.600393	6.079091	5.799288	15.892676	7.593942	19.442165	13.332249	7.665155	6.203675	5.060067	4.407186	6.550815	5.091017
AAED1	2.605134	2.144987	5.140564	5.405313	5.604378	13.55682	4.505295	12.809242	7.842911	9.251427	2.786005	2.526272	2.771744	2.504903	3.165329
AAGAB	11.566695	11.360666	13.413362	10.461516	12.23114	10.834415	13.921466	15.950891	14.465229	22.714187	19.456891	20.705008	18.979843	17.075481	20.960771
AAK1	12.242638	9.467655	28.198456	6.022539	6.38818	7.883788	2.222943	6.170346	4.40466	1.045515	3.330586	3.231912	2.400057	2.43586	2.810932
AAMDC	8.097743	7.873444	4.900758	10.429831	10.085996	4.754598	8.146731	6.171368	14.571585	16.842718	3.820907	3.729573	3.088512	2.962288	3.611748
AAMP	34.153705	33.991135	5.874009	28.446394	27.873636	6.732085	19.584588	10.973597	27.717114	44.133592	22.304603	22.292302	21.540436	23.320334	23.550127
AANAT	17.05206	18.952407	3.064876	7.046961	6.068877	1.011367	0.165739	0.790862	1.16663	0.696636	21.452309	16.124508	12.071501	21.47736	14.296581
AAR2	10.033758	9.029417	3.796282	10.044456	10.614498	5.017435	7.852794	5.773621	12.546233	11.064054	10.057518	12.009766	11.640323	12.617136	10.24753
AARS	57.702927	49.569389	43.920395	54.850998	39.333172	49.631054	23.604761	36.810215	39.638538	25.315157	30.220139	31.566229	32.657199	36.287993	30.540815
AARS2	8.120141	6.811368	4.291378	8.891501	8.654634	4.911016	6.46067	6.328094	8.908015	12.054406	15.887331	18.607594	18.480339	20.713166	17.273836
AARSD1	12.987897	13.332368	0	14.744764	14.74126	0	11.029525	15.931301	21.74575	0	0.183356	1.239157	0.912195	0.658538	3.898599
AASDH	12.971673	10.086203	13.642439	13.480391	11.223308	11.668765	7.192548	13.090884	9.123751	11.530306	3.93732	4.183903	3.653701	3.574455	4.431883
AASDHPPT	30.379692	29.768244	18.939905	42.855343	38.734795	21.077383	26.399607	25.90959	31.118753	40.459637	40.149338	37.966275	42.041676	27.502218	42.625412
AASS	6.247438	7.349652	9.652853	9.369666	8.230801	9.315833	11.647016	21.899427	11.061956	23.058756	0.007985	0	0.011863	0	0.006347
AATF	9.507776	10.649476	10.368486	13.160075	16.035144	20.888728	16.696638	40.306116	30.869545	15.337051	13.023737	13.858218	16.325721	15.720646	16.031435
AATK	1.566384	1.324571	1.952778	1.847919	1.042986	0.757831	0.435842	0.816778	1.989835	1.481097	3.418688	1.91975	3.14195	3.117184	3.002547
ABAT	10.817986	16.307766	9.6319	5.67918	6.799544	4.792126	9.445546	4.783424	4.660429	17.666325	0.070534	0.096044	0.207524	0.163206	0.209292
ABCA1	10.232584	8.294006	13.07815	4.376533	5.111126	3.069875	6.602073	6.534616	6.533244	5.611757	0.116559	0.067047	0.114852	0.099785	0.102775
ABCA10	1.281037	1.09148	2.233814	0.698668	0.678863	0.256529	0	0.174486	0.154866	0	0.323247	0.205446	0.150565	0.028065	0.279478
ABCA12	0.108869	0.16255	0.310997	0.128992	0.171187	0.146461	0.124419	0.244022	0.209416	0	0.135755	0.141436	0.113746	0.097312	0.132974
ABCA13	0.22313	0.025648	0.062629	0	0.044901	0.025604	0.125354	0.019091	0.034758	0.072235	0.005463	0	0	0	0
ABCA2	2.729387	2.971546	2.814643	4.492349	3.822451	8.506265	4.569148	6.981758	12.099339	5.017645	7.37268	6.252655	6.279199	9.033908	6.734742
ABCA3	9.005672	9.158009	8.933378	13.031346	12.951739	18.170141	14.962726	21.757978	29.503788	10.191355	11.722472	12.004052	11.195445	12.325952	10.198754
ABCA4	136.694366	106.778221	114.239365	72.667793	52.277649	10.825602	0.107075	1.522746	1.372633	0.060351	0.188447	0.11502	0.116723	0.136855	0.254482
ABCA5	11.987442	11.516247	15.895878	7.233646	6.102573	5.697505	0.244686	3.46734	2.946144	0.629625	8.13385	6.080241	7.35366	4.15635	6.619127
ABCA6	1.120214	1.092491	0.967526	0.61948	0.332633	0.162236	0	0.193131	0.060612	0	0	0.008672	0	0	0
ABCA7	31.961548	31.139881	22.411098	17.072798	12.987045	2.524403	0.51776	2.192639	4.340764	1.112426	20.217802	15.334497	16.308872	21.956177	16.719466
ABCA9	0.815134	1.019894	1.067405	0.617099	0.434291	0.180563	0	0.330473	0.188275	0	0.006486	0	0	0	0
ABCB1	0.862023	0.9179	1.371777	0.154735	0.306545	0.172778	0	1.337469	1.591226	0	0	0	0	0.009505	0
ABCB10	10.942773	11.595763	9.062864	14.31345	13.678883	9.550429	9.357138	10.465135	11.455686	14.517005	6.475222	8.157148	11.299453	7.59755	10.659602
ABCB11	0.213392	0.417561	0.61361	0.439166	0.159246	0.259595	0	0.066922	0	0.533847	0	0	0.009607	0	0
ABCB4	1.11772	0.948607	2.034037	1.061006	0.9004	0.984155	0.460743	0.171174	0.405289	0.596297	0	0	0	0	0.01129
ABCB6	10.116616	10.507045	4.957986	15.553552	9.480189	8.062721	7.223974	11.937457	12.396514	22.241297	6.114432	5.357215	4.853757	5.796246	5.466937
ABCB7	9.868976	7.638456	10.143127	13.156377	10.130798	18.356868	7.098074	17.357978	13.5722	9.45135	6.681869	6.240509	5.443282	6.135167	5.724253
