GeneSymbol	log2FC	|log2FC|	AveExpr	t	P.Value	adj.P.Val	M-Cell1	M-Cell2	M-Cell3	M-Cell4	Y79_1	Y79_2	Y79_3	Y79_4	Y79_5
MALAT1	7.937853	7.937853	7.664977	8.891712	1.38E-05	0.0002983023	368.211609	6734.868652	4662.437988	319.521851	0.088527	0.083645	0.096012	0.077692	0.099865
HIST1H4E	6.228351	6.228351	7.508057	21.15416	1.20E-08	3.77E-05	616.508301	592.817383	544.803345	568.084778	0.810948	0.499887	1.614453	3.800484	1.299792
HIST1H4C	6.221624	6.221624	6.092557	10.07209	5.18E-06	0.0001768962	388.508484	76.522652	304.431	649.114197	0.104315	0.376502	0.190397	0.331245	0.018176
HIST1H1B	6.150167	6.150167	5.486141	14.17195	3.31E-07	5.54E-05	262.047791	167.470901	191.664993	364.451569	0.02964	0	0.065105	0	0
HIST1H2BH	6.031936	6.031936	5.388216	11.48289	1.82E-06	0.0001048401	321.30484	88.859879	185.107315	406.885529	0	0	0.032459	0	0
HIST1H1E	5.969515	5.969515	6.516986	10.75641	3.08E-06	0.0001372177	442.964233	139.091797	210.36824	741.422058	0.696064	0.641845	0.789787	1.227841	0.418533
HIST1H3B	5.780171	5.780171	6.435515	10.9115	2.74E-06	0.0001301847	456.260345	140.590912	277.482361	706.956421	0.875255	0.236707	1.344307	1.635947	1.991843
HIST2H3C	5.764564	5.764564	6.495164	8.766289	1.54E-05	0.0003224243	490.222275	100.170223	324.177857	1077.414703	1.167447	1.102271	1.499326	1.804504	1.360016
GSG1	-5.748999	5.748999	5.832675	-12.21728	1.11E-06	8.46E-05	0.188619	0.602558	1.189526	0.238606	163.174377	149.821392	197.68678	201.996843	184.907157
HIST2H2BF	5.739255	5.739255	6.997609	15.29547	1.77E-07	4.69E-05	472.50464	267.439318	313.776464	550.229553	1.327443	1.388328	1.622015	2.289784	1.784678
HIST1H2BK	5.729836	5.729836	5.186522	13.7258	4.30E-07	6.13E-05	214.087448	112.323875	140.414398	234.257675	0.110475	0	0	0.005889	0
HIST1H3E	5.595701	5.595701	5.383348	9.993815	5.51E-06	0.0001822114	195.950241	53.367386	163.316757	370.324615	0.070512	0.104221	0.089174	0.173695	0.153685
